locus_tag	abundance	source_gene_id
M744_RS00005	48.6190	Synpcc7942_0586
M744_RS00010	2164.8073	Synpcc7942_0585
M744_RS00020	757.3177	Synpcc7942_0583
M744_RS00025	24.4073	Synpcc7942_0582
M744_RS00030	33.7775	Synpcc7942_0581
M744_RS00035	545.2003	Synpcc7942_0580
M744_RS00040	848.7778	Synpcc7942_0579
M744_RS00045	2821.9185	Synpcc7942_0578
M744_RS00050	207.3514	Synpcc7942_0576
M744_RS00055	1764.9423	Synpcc7942_0575
M744_RS00060	211.8179	Synpcc7942_0574
M744_RS00065	138.1422	Synpcc7942_0573
M744_RS00075	95.7960	Synpcc7942_0572
M744_RS00080	331.7516	Synpcc7942_0571
M744_RS00085	454.5492	Synpcc7942_0570
M744_RS00090	5079.1497	Synpcc7942_0569
M744_RS00095	716.7696	Synpcc7942_0568
M744_RS00100	222.7101	Synpcc7942_0567
M744_RS00105	111.5883	Synpcc7942_0566
M744_RS00110	447.9718	Synpcc7942_0565
M744_RS00115	308.1443	Synpcc7942_0564
M744_RS00120	345.6438	Synpcc7942_0563
M744_RS00125	243.0759	Synpcc7942_0562
M744_RS00130	758.0120	Synpcc7942_0561
M744_RS00135	113.2414	Synpcc7942_0560
M744_RS00140	477.2507	Synpcc7942_0559
M744_RS00145	618.7686	Synpcc7942_0558
M744_RS00150	80.7961	Synpcc7942_0557
M744_RS00155	262.2953	Synpcc7942_0556
M744_RS00160	21.7027	Synpcc7942_0555
M744_RS00165	875.2026	Synpcc7942_0554
M744_RS00170	532.7568	Synpcc7942_0553
M744_RS00175	268.1789	Synpcc7942_0552
M744_RS00180	13007.0105	Synpcc7942_0551
M744_RS00185	48.4499	Synpcc7942_0550
M744_RS00190	441.4247	Synpcc7942_0549
M744_RS00195	987.5193	Synpcc7942_0548
M744_RS00200	11.1763	Synpcc7942_0547
M744_RS00205	374.1808	Synpcc7942_0546
M744_RS00210	315.2894	Synpcc7942_0545
M744_RS00215	69.6730	Synpcc7942_0544
M744_RS00220	183.6673	Synpcc7942_0543
M744_RS00225	225.3390	Synpcc7942_0542
M744_RS00235	111.0540	Synpcc7942_0541
M744_RS00240	94.0372	Synpcc7942_0540
M744_RS00245	39.9149	Synpcc7942_0539
M744_RS00250	9662.9297	Synpcc7942_0538
M744_RS00255	3297.5294	Synpcc7942_0537
M744_RS00260	936.5126	Synpcc7942_0536
M744_RS00265	31183.3768	Synpcc7942_0535
M744_RS00270	989.9398	Synpcc7942_0534
M744_RS00275	72.3054	Synpcc7942_0533
M744_RS00280	82.9771	Synpcc7942_0532
M744_RS00285	621.6823	Synpcc7942_0531
M744_RS00290	63.0135	Synpcc7942_0530
M744_RS00295	192.6484	Synpcc7942_0529
M744_RS00300	687.0059	Synpcc7942_0528
M744_RS00305	192.3823	Synpcc7942_0527
M744_RS00310	125.9557	Synpcc7942_0526
M744_RS00315	265.3270	Synpcc7942_0525
M744_RS00320	184.5674	Synpcc7942_0524
M744_RS00325	143.5970	Synpcc7942_0523
M744_RS00330	450.1584	Synpcc7942_0522
M744_RS00335	63.6669	Synpcc7942_0521
M744_RS00340	168.6931	Synpcc7942_0520
M744_RS00345	101.8223	Synpcc7942_0519
M744_RS00350	163.7289	Synpcc7942_0518
M744_RS00355	434.4529	Synpcc7942_0517
M744_RS00360	1342.8382	Synpcc7942_0516
M744_RS00365	72.4732	Synpcc7942_0515
M744_RS00370	848.8459	Synpcc7942_0514
M744_RS00375	260.4689	Synpcc7942_0513
M744_RS00380	516.0395	Synpcc7942_0512
