locus_tag	abundance	source_gene_id
M744_RS00010	164.375000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00015	843.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00020	884.125000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00025	208.000000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00040	567.250000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00045	10009.250000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS00050	256.125000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00055	1189.125000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00060	542.250000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00075	341.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00080	224.500000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00085	1666.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00105	3573.375000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00110	1736.375000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00115	503.750000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00120	513.125000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS00125	596.500000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00130	1733.875000	Tan2018_dRNAseq_TSS_count_sum_4TSS
M744_RS00135	164.250000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00140	319.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00145	164.500000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00150	1004.000000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00160	492.375000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00165	12024.250000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00175	575.875000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00180	92846.250000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00185	406.500000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00190	28272.375000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00195	7159.250000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00200	2796.250000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00205	4491.875000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS00210	227.500000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00215	211.875000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00225	110.125000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00235	1425.000000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00245	1492.500000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS00250	6476.250000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS00255	327.375000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00260	30924.500000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00270	362.875000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00285	1411.250000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00290	811.875000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00295	172.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00300	780.250000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS00305	861.625000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00315	479.875000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00325	784.250000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00330	1505.375000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00340	725.625000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00345	1313.500000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00350	792.375000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00355	397.000000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00380	6875.125000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00395	1447.500000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00400	516.375000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00405	1223.500000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS00410	1044.375000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00440	547.375000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00445	134.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00450	438.250000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00465	1130.625000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00470	5425.125000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS00475	5942.625000	Tan2018_dRNAseq_TSS_count_sum_4TSS
M744_RS00485	2144.000000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS00490	365.250000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00495	2452.000000	Tan2018_dRNAseq_TSS_count_sum_4TSS
M744_RS00500	159.500000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00510	502.375000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00520	245.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00525	2807.750000	Tan2018_dRNAseq_TSS_count_sum_4TSS
M744_RS00530	1082.250000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS00535	2516.500000	Tan2018_dRNAseq_TSS_count_sum_6TSS
M744_RS00555	239.000000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00565	8806.000000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00570	254.000000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00575	841.500000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00580	1247.125000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00590	388.125000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00605	3929.125000	Tan2018_dRNAseq_TSS_count_sum_4TSS
M744_RS00610	315.500000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00620	706.875000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00635	313.000000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00645	667.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00650	1009.000000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00655	591.000000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00660	465.375000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00665	686.000000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00670	5778.250000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00675	1800.500000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00715	17267.000000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00720	11550.875000	Tan2018_dRNAseq_TSS_count_sum_5TSS
M744_RS00725	170.125000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00730	572.000000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00735	199.375000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00755	296.000000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00760	1298.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00770	457.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00775	250.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00780	631.125000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00785	3463.375000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00810	145.500000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00815	41662.500000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00825	1727.250000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS00835	125.125000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00840	986.750000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00845	729.000000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00850	7623.875000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS00855	126.500000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00865	2560.250000	Tan2018_dRNAseq_TSS_count_sum_4TSS
M744_RS00885	165.250000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00910	542.875000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00915	910.750000	Tan2018_dRNAseq_TSS_count_sum_4TSS
M744_RS00930	359.875000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00935	181.000000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00940	586.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00945	735.875000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS00950	2008.500000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS00955	392.000000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00960	723.500000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS00965	4689.375000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS00970	116.875000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00975	228.125000	Tan2018_dRNAseq_TSS_count_sum_1TSS
