tss_id	comparison	source_selection_min_abs_log2fc	strand	atss_position	atss_log2fc	potential_target_locus	potential_target_symbol	gtss_position	gtss_log2fc	source_product
aTSS+1886911	dark	1.5	+	1886911	7.57099982662529	M744_RS09425	ndhA	1887330	-4.72827995666672	NAD(P)H-quinone oxidoreductase subunit 1
aTSS+1239837	dark	1.5	+	1239837	7.26917672330048	M744_RS06395		1240131	-2.41083611820111	hypothetical protein
aTSS+916887	dark	1.5	+	916887	6.99280645508994	M744_RS04720	amt1	916902	-3.38898207187476	ammonia channel protein
aTSS+2360983	dark	1.5	+	2360983	6.8560503771944	M744_RS11690	psbA2	2361371	-2.1819557478759	photosystem I reaction center subunit IX
aTSS+2672940	dark	1.5	+	2672940	5.99143781882486	M744_RS13200		2673062	-4.11107053340214	peptidoglycan-binding protein LysM
aTSS+1075313	dark	1.5	+	1075313	5.91244386239366	M744_RS05605		1075358	-1.90698936808212	ABC transporter
aTSS+2480994	dark	1.5	+	2480994	5.39430461515736	M744_RS12215	phoA	2481533	-3.6977281838539	purple acid phosphatase
aTSS-1282723	dark	1.5	-	1282723	5.38208606818329	M744_RS06625	hlyB	1281884	-5.09116579464401	peptidase C39
aTSS+382519	dark	1.5	+	382519	5.05327594307093	M744_RS02025		382677	-4.72826531605433	sensor domain-containing phosphodiesterase
aTSS-2042241	dark	1.5	-	2042241	5.04933215222083	M744_RS10180		2042007	-2.37019540355331	acyltransferase
aTSS+1603210	dark	1.5	+	1603210	4.9887132939052	M744_RS08180		1603881	-3.20460250875566	hypothetical protein
aTSS-1150326	dark	1.5	-	1150326	4.90208764894651	M744_RS05920		1146729	-1.81486525400735	chromosome segregation protein SMC
aTSS+195366	dark	1.5	+	195366	4.86638973850228	M744_RS01055	ycf63	195816	-2.05423219389525	ABC transporter permease
