locus_tag	pass00399_search_observation	pass00399_search_ids	source_integrity	admitted_evidence
M744_RS00005	exact_sequence_unique	gnl|PRJNA209528|M744_00005	unverified_transport	no
M744_RS00010	exact_sequence_unique	gnl|PRJNA209528|M744_00010	unverified_transport	no
M744_RS00015	exact_sequence_unique	gnl|PRJNA209528|M744_00015	unverified_transport	no
M744_RS00020	exact_sequence_unique	gnl|PRJNA209528|M744_00020	unverified_transport	no
M744_RS00025	exact_sequence_unique	gnl|PRJNA209528|M744_00025	unverified_transport	no
M744_RS00030	exact_sequence_unique	gnl|PRJNA209528|M744_00030	unverified_transport	no
M744_RS00035	absent		unverified_transport	no
M744_RS00040	exact_sequence_unique	gnl|PRJNA209528|M744_00040	unverified_transport	no
M744_RS00045	exact_sequence_unique	gnl|PRJNA209528|M744_00045	unverified_transport	no
M744_RS00050	absent		unverified_transport	no
M744_RS00055	absent		unverified_transport	no
M744_RS00060	exact_sequence_unique	gnl|PRJNA209528|M744_00065	unverified_transport	no
M744_RS00065	exact_sequence_unique	gnl|PRJNA209528|M744_00070	unverified_transport	no
M744_RS00075	absent		unverified_transport	no
M744_RS00080	exact_sequence_unique	gnl|PRJNA209528|M744_00085	unverified_transport	no
M744_RS00085	exact_sequence_unique	gnl|PRJNA209528|M744_00090	unverified_transport	no
M744_RS00090	exact_sequence_unique	gnl|PRJNA209528|M744_00095	unverified_transport	no
M744_RS00095	exact_sequence_unique	gnl|PRJNA209528|M744_00100	unverified_transport	no
M744_RS00100	exact_sequence_unique	gnl|PRJNA209528|M744_00105	unverified_transport	no
M744_RS00105	exact_sequence_unique	gnl|PRJNA209528|M744_00110	unverified_transport	no
M744_RS00110	exact_sequence_unique	gnl|PRJNA209528|M744_00115	unverified_transport	no
M744_RS00115	exact_sequence_unique	gnl|PRJNA209528|M744_00120	unverified_transport	no
M744_RS00120	exact_sequence_unique	gnl|PRJNA209528|M744_00125	unverified_transport	no
M744_RS00125	exact_sequence_unique	gnl|PRJNA209528|M744_00130	unverified_transport	no
M744_RS00130	exact_sequence_unique	gnl|PRJNA209528|M744_00135	unverified_transport	no
M744_RS00135	absent		unverified_transport	no
M744_RS00140	exact_sequence_unique	gnl|PRJNA209528|M744_00145	unverified_transport	no
M744_RS00145	exact_sequence_unique	gnl|PRJNA209528|M744_00150	unverified_transport	no
M744_RS00150	exact_sequence_unique	gnl|PRJNA209528|M744_00155	unverified_transport	no
M744_RS00155	exact_sequence_unique	gnl|PRJNA209528|M744_00160	unverified_transport	no
M744_RS00160	exact_sequence_unique	gnl|PRJNA209528|M744_00165	unverified_transport	no
M744_RS00165	exact_sequence_unique	gnl|PRJNA209528|M744_00170	unverified_transport	no
M744_RS00170	exact_sequence_unique	gnl|PRJNA209528|M744_00175	unverified_transport	no
M744_RS00175	exact_sequence_unique	gnl|PRJNA209528|M744_00180	unverified_transport	no
M744_RS00180	exact_sequence_unique	gnl|PRJNA209528|M744_00185	unverified_transport	no
M744_RS00185	exact_sequence_unique	gnl|PRJNA209528|M744_00195	unverified_transport	no
M744_RS00190	absent		unverified_transport	no
M744_RS00195	exact_sequence_unique	gnl|PRJNA209528|M744_00205	unverified_transport	no
M744_RS00200	exact_sequence_unique	gnl|PRJNA209528|M744_00210	unverified_transport	no
M744_RS00205	exact_sequence_unique	gnl|PRJNA209528|M744_00215	unverified_transport	no
M744_RS00210	exact_sequence_unique	gnl|PRJNA209528|M744_00220	unverified_transport	no
M744_RS00215	exact_sequence_unique	gnl|PRJNA209528|M744_00225	unverified_transport	no
M744_RS00220	exact_sequence_unique	gnl|PRJNA209528|M744_00230	unverified_transport	no
M744_RS00225	exact_sequence_unique	gnl|PRJNA209528|M744_00235	unverified_transport	no
M744_RS00230	absent		unverified_transport	no
M744_RS00235	exact_sequence_unique	gnl|PRJNA209528|M744_00245	unverified_transport	no
M744_RS00240	exact_sequence_unique	gnl|PRJNA209528|M744_00250	unverified_transport	no
M744_RS00245	exact_sequence_unique	gnl|PRJNA209528|M744_00255	unverified_transport	no
M744_RS00250	exact_sequence_unique	gnl|PRJNA209528|M744_00260	unverified_transport	no
M744_RS00255	exact_sequence_unique	gnl|PRJNA209528|M744_00265	unverified_transport	no
M744_RS00260	exact_sequence_unique	gnl|PRJNA209528|M744_00270	unverified_transport	no
M744_RS00265	exact_sequence_unique	gnl|PRJNA209528|M744_00275	unverified_transport	no
M744_RS00270	exact_sequence_unique	gnl|PRJNA209528|M744_00280	unverified_transport	no
M744_RS00275	exact_sequence_unique	gnl|PRJNA209528|M744_00285	unverified_transport	no
M744_RS00280	exact_sequence_unique	gnl|PRJNA209528|M744_00290	unverified_transport	no
M744_RS00285	exact_sequence_unique	gnl|PRJNA209528|M744_00300	unverified_transport	no
M744_RS00290	exact_sequence_unique	gnl|PRJNA209528|M744_00305	unverified_transport	no
M744_RS00295	absent		unverified_transport	no
M744_RS00300	absent		unverified_transport	no
M744_RS00305	absent		unverified_transport	no
M744_RS00310	exact_sequence_unique	gnl|PRJNA209528|M744_00325	unverified_transport	no
M744_RS00315	exact_sequence_unique	gnl|PRJNA209528|M744_00330	unverified_transport	no
M744_RS00320	exact_sequence_unique	gnl|PRJNA209528|M744_00335	unverified_transport	no
