tss_id	replicon	type	strand	position	locus_tag	source_start_distance_nt	control_1	control_2	dark_1	dark_2	high_light_1	high_light_2	high_temperature_1	high_temperature_2	dark_log2fc	dark_padj	high_light_log2fc	high_light_padj	high_temperature_log2fc	high_temperature_padj
gTSS+1705796	CP006471	gTSS	+	1705796	M744_RS08615	614	380	478	210	368	198	244	457	259	1.4253132484705	5.1407172691202e-08	0.0889724471279438	0.778428874691314	0.271453599650945	0.463335438920267
gTSS+1706305	CP006471	gTSS	+	1706305	M744_RS08615	105	135	151	15	10	285	407	164	83	-1.45962886489352	0.000797070767270638	2.30953875279697	1.41996920750727e-12	0.292300467174651	0.547738157800293
gTSS-1843052	CP006471	gTSS	-	1843052	M744_RS09240	61	770	824	52	56	2402	3670	599	339	-1.84063126087994	1.17108653420051e-11	2.95830493746477	6.25071278092529e-37	-0.231954188342092	0.497220983388807
gTSS-1236300	CP006471	gTSS	-	1236300	M744_RS06365	22	3826	3664	315	527	4114	5249	4128	2252	-1.15101220484263	1.77237327832131e-08	1.36608837148015	1.17798877795923e-11	0.295846582464809	0.262625788457783
gTSS-1236564	CP006471	gTSS	-	1236564	M744_RS06365	286	1169	1073	55	81	765	914	600	436	-2.02541394481034	1.40560958591443e-12	0.632412300166071	0.0207328747322083	-0.515431330017813	0.121485193586679
gTSS+1707430	CP006471	gTSS	+	1707430	M744_RS08620	81	1765	2316	409	613	2803	5240	1386	661	0.0176457327717953	0.948849157206662	1.99055863404254	9.05487979806173e-16	-0.504292381417701	0.107066463702576
gTSS+1706653	CP006471	gTSS	+	1706653	M744_RS08620	858	1225	1386	188	246	294	348	2046	786	-0.556686971379639	0.0215919356836151	-0.974700223578526	5.51514632704798e-05	0.555144235890017	0.0498755423289563
gTSS+1707103	CP006471	gTSS	+	1707103	M744_RS08620	408	715	880	316	352	463	728	994	311	0.799991842927775	0.0048942468801611	0.605254549457063	0.0402095337813269	0.101899415967828	0.824051663218489
gTSS+1106695	CP006471	gTSS	+	1106695	M744_RS05755	23	1464	1721	881	1517	1858	2169	1465	252	1.58627880810681	2.58742655368731e-06	1.38934464154366	6.09452102450337e-05	-0.621847856218622	0.153693616249027
gTSS+2350111	CP006471	gTSS	+	2350111	M744_RS11635	68	1028	987	45	57	1962	2106	852	405	-2.27574967991126	2.19665151772198e-18	2.07199544295719	3.89349420758948e-21	-0.189732985073299	0.56005592216505
gTSS-48695	CP006471	gTSS	-	48695	M744_RS00260	149	34393	27499	875	1199	57099	96710	21118	8503	-2.86989344186321	7.95478034196021e-38	2.334291243585	2.54189482477173e-25	-0.613923520301528	0.0235405521917887
gTSS+1279896	CP006471	gTSS	+	1279896	M744_RS06615	77	1995	1847	305	424	391	524	2079	1142	-0.371981411183941	0.0966441193437158	-1.02952447909684	3.68328844256513e-06	0.274221350908271	0.346150735073592
gTSS+974945	CP006471	gTSS	+	974945	M744_RS05065	11	306	414	308	468	154	206	389	141	2.12134979432981	1.3245985264869e-15	0.0398046249480808	0.904644732747674	-0.012170985971405	0.978850386047004
gTSS+974069	CP006471	gTSS	+	974069	M744_RS05065	887	32	23	1	2	257	345	25	14	-2.1836499950311	0.0232702924344999	4.49281034696141	2.65404619772866e-28	0.0151138646568767	0.984000557113128
gTSS+1704594	CP006471	gTSS	+	1704594	M744_RS08605	71	5629	6689	1721	2633	9261	11688	3205	1901	0.512224113896205	0.0164971037381054	1.81044019512271	9.84695961184925e-18	-0.721942475603012	0.00356280418439893
gTSS-2650994	CP006471	gTSS	-	2650994	M744_RS13100	58	5258	4470	145	189	6224	7470	2392	1477	-2.83178578414767	2.0702209124558e-34	1.54294561725338	4.55950554840458e-12	-0.770208488384316	0.00302640283411379
gTSS-2386512	CP006471	gTSS	-	2386512	M744_RS11775	37	2004	2098	364	552	2053	2894	1303	698	-0.148611732141301	0.501192188933053	1.30579450723095	3.12802004597659e-10	-0.514771231244258	0.0421452267292795
gTSS-1437957	CP006471	gTSS	-	1437957	M744_RS07350	19	5605	4602	269	382	3139	4025	3972	1874	-1.94747292220809	4.22626220576281e-21	0.533426000421837	0.0113639869436685	-0.3141381394969	0.2374873311759
gTSS+91273	CP006471	gTSS	+	91273	M744_RS00490	21	191	301	15	24	83	113	69	61	-1.64826978477469	0.000485409149035499	-0.289923958493769	0.545811811123336	-1.2929045915458	0.01082504079863
gTSS+981917	CP006471	gTSS	+	981917	M744_RS05120	14	173	191	1032	1627	59	60	168	78	4.87754396736785	6.0548470728588e-101	-0.558174104440023	0.0491268400007417	-0.0799390589576818	0.848091426843054
gTSS+981858	CP006471	gTSS	+	981858	M744_RS05120	73	429	325	27	60	99	130	271	193	-1.13561868965485	0.00212675649309764	-0.676413804562577	0.0634411964771894	-0.10924801926784	0.845402454704529
gTSS+1222208	CP006471	gTSS	+	1222208	M744_RS06295	41	2155	2647	683	1082	2438	3019	1962	873	0.563802258688352	0.00747540733777955	1.23028540597895	4.62687769489732e-09	-0.28635560356237	0.305056335846223
gTSS-315458	CP006471	gTSS	-	315458	M744_RS01675	23	609	732	320	508	361	523	451	252	1.31221906499999	5.25704753678475e-08	0.432453376909172	0.0933357888056518	-0.403302757351038	0.203714515771501
