locus_tag	gene_symbol	protein_id	protein_id_locus_count	refseq_protein_record	computed_cds_translation	refseq_protein_sequence	protein_length_aa	protein_sequence_sha256	identity_ambiguity	experimentally_detected	characterized_homolog	tested_variant_evidence	tested_variant_growth_condition
M744_RS00005		WP_049749324.1	1	present	exact	exact	255	73ea5c799bb84ca3634881693d51060b7513daeec79ca6d61883ff0a30d7866a	none	unknown	unknown	unknown	unknown
M744_RS00010		WP_011377632.1	1	present	exact	exact	406	06503b8b75b0629809ad06efb75831f560afeaeaa1c6b43b281561ed0bce17b5	none	unknown	unknown	unknown	unknown
M744_RS00015	rpiA	WP_011243251.1	1	present	exact	exact	241	720c2a437395b4e486ebd0bde413044df371caeba171d276b4d60497ec9a7ff3	none	unknown	unknown	unknown	unknown
M744_RS00020	bchI	WP_011243252.1	1	present	exact	exact	364	30aa945aa05c5f2e36a3e72ea3d006f8324cc7a0cea6fc83f48a679de412e884	none	unknown	unknown	unknown	unknown
M744_RS00025		WP_011243253.1	1	present	exact	exact	334	73d9a062633e935cf0b4e6c851779b6a5842d745860d4379643dcbbc9d7b5a82	none	unknown	unknown	unknown	unknown
M744_RS00030		WP_011243254.1	1	present	exact	exact	115	6a88415494a88158592cbfcdb69d948302546f9066391e023d4b8782ef9d5210	none	unknown	unknown	unknown	unknown
M744_RS00035	mrdA	WP_011377631.1	1	present	exact	exact	605	772d6f34724de2052d1b83cc68f1b7736b56851c511d56bd4a31b12411c51054	none	unknown	unknown	unknown	unknown
M744_RS00040		WP_011243256.1	1	present	exact	exact	377	70033125b34645a7fa52d000648b3ca257559ad1efdb3d894b8d2c6fcec2c402	none	unknown	unknown	unknown	unknown
M744_RS00045		WP_011243257.1	1	present	exact	exact	402	ed983d75f943b5bfec9c61b322e7aa0881527e6204b12ccbf42be075b93155e2	none	unknown	unknown	unknown	unknown
M744_RS00050		WP_039755858.1	1	present	exact	exact	276	67665f1f574b46ee2bf1bd248d796349b993ee564d822f1b51580e61cb6d60f5	none	unknown	unknown	unknown	unknown
M744_RS00055		WP_231621344.1	1	present	exact	exact	178	9a23c3aca54d6b07e00d55a79436039aaf4eb442f2d2656a3b4db8290210597b	none	unknown	unknown	unknown	unknown
M744_RS00060		WP_011243261.1	1	present	exact	exact	276	41bdf22e95409c9b62928ccf224bc76797171490c7bd22d96787bc72e0dbe792	none	unknown	unknown	unknown	unknown
M744_RS00065		WP_011377629.1	1	present	exact	exact	78	4a2472c4c4ac2a3b7c830c9d1860955b65cd35dcc15f124ab0b5413ed6f89e05	none	unknown	unknown	unknown	unknown
M744_RS00075		WP_011377628.1	1	present	exact	exact	146	71743a1add21e0324a421431edd48802527a770fb2fe2688ad792482e3359295	none	unknown	unknown	unknown	unknown
M744_RS00080		WP_011243263.1	1	present	exact	exact	457	a6a28b5db342b039a612ce6c124c689bc50837fa95b62fb987741b6b0f4b8f7d	none	unknown	unknown	unknown	unknown
M744_RS00085		WP_011243264.1	1	present	exact	exact	447	31a1b0d5289fad70fdc2f9b711af38c536a6eadb5947a12dfa527a03504d9909	none	unknown	unknown	unknown	unknown
M744_RS00090		WP_011243265.1	1	present	exact	exact	311	8f8689f7d69b81dddb7222b4acf8ea87db503db3eca30c5866a2e961d7144561	none	unknown	unknown	unknown	unknown
M744_RS00095		WP_011377627.1	1	present	exact	exact	438	ffef02fa74d1bf46216da2583b7d725990bf8c714259a12c672582d39ee3ff31	none	unknown	unknown	unknown	unknown
M744_RS00100		WP_011377626.1	1	present	exact	exact	449	3fbe4dd9e9b1bbeb2a51f81a9bd31b7ffc2c37a7c4fa8ab24cc294a0fa4f972c	none	unknown	unknown	unknown	unknown
M744_RS00105		WP_011243268.1	1	present	exact	exact	256	12993b14ce787ae7943f392b03b2681ec2129fc6e58af34702e420bcafdef999	none	unknown	unknown	unknown	unknown
M744_RS00110		WP_011243269.1	1	present	exact	exact	220	8e0ea609920b8cf3f56582ea2378f11a51cbce53a87f7a53a2928b4891ebbdff	none	unknown	unknown	unknown	unknown
M744_RS00115		WP_011243270.1	1	present	exact	exact	237	f4eb93398471e25dd73022a9038161975c048c599b6688ed29656da851ee31dc	none	unknown	unknown	unknown	unknown
M744_RS00120	uvrB	WP_011243271.1	1	present	exact	exact	666	7f9b0888f111fbab391fc4fef3f2e4b0d1f1fa4a9be87ad08222c047911b502c	none	unknown	unknown	unknown	unknown
M744_RS00125		WP_011243272.1	1	present	exact	exact	151	7967bbb84cec7e42b57398f244a6e498e01acfd034a256bb827cf34678c59f00	none	unknown	unknown	unknown	unknown
M744_RS00130		WP_011377624.1	1	present	exact	exact	331	b711095c6daef96231a886a1a9146ae7b85c06ad7be328dfd93f083f1f8da731	none	unknown	unknown	unknown	unknown
