tss_id	replicon	type	strand	position	source_locus_tag	source_start_distance_nt	mapping_status	mapping_reason	mapped_locus_tag	dark_log2fc	dark_padj	high_light_log2fc	high_light_padj	high_temperature_log2fc	high_temperature_padj	control_1	control_2	dark_1	dark_2	high_light_1	high_light_2	high_temperature_1	high_temperature_2
aTSS-1705677	CP006471	aTSS	-	1705677	M744_RS08610	302	mapped	exact_current_locus_id	M744_RS08610	3.79241217377454	2.28992447561885e-35	0.279678135923226	0.456542123015254	0.926315462016013	0.0155726292232769	113	91	255	455	53	67	228	67
aTSS+2340302	CP006471	aTSS	+	2340302	M744_RS11560	83	mapped	exact_current_locus_id	M744_RS11560	1.62163104885112	2.06986765380632e-08	0.0998106436415154	0.777714664560211	0.548877546233168	0.136088435055799	254	271	175	218	124	148	434	144
aTSS-2663807	CP006471	aTSS	-	2663807	M744_RS13160	418	mapped	exact_current_locus_id	M744_RS13160	-2.83860190272501	1.18849600467975e-13	1.50919602975986	1.16310611664811e-07	-0.224875979057649	0.58894695013871	467	421	17	13	466	778	351	182
aTSS+1235490	CP006471	aTSS	+	1235490	M744_RS06365	788	mapped	exact_current_locus_id	M744_RS06365	-1.53301603394265	1.4968628905828e-05	0.82803584422275	0.0100391024163747	-0.111324350463138	0.825545369346918	400	369	29	36	242	432	288	191
aTSS-1106685	CP006471	aTSS	-	1106685	M744_RS05755	33	mapped	exact_current_locus_id	M744_RS05755	5.20264592662645	4.38741882667393e-75	-1.5037274173641	0.00031174086733727	0.731641977500498	0.0541893917511239	84	74	601	825	12	15	153	45
aTSS-1107035	CP006471	aTSS	-	1107035	M744_RS05755	317	mapped	exact_current_locus_id	M744_RS05755	0.230762299058519	0.507997161855931	-1.51844196830675	1.41791377579744e-05	0.764791984495755	0.0514513984959365	407	323	79	135	73	47	586	290
iTSS+2351086	CP006471	iTSS	+	2351086	M744_RS11635	907	mapped	exact_current_locus_id	M744_RS11635	-0.592472148723596	0.0525544799477049	-1.62721975991409	1.01718539974201e-07	0.220676531192606	0.603849570030117	666	1114	115	178	108	175	1020	467
iTSS-828273	CP006471	iTSS	-	828273	M744_RS04265	1164	mapped	exact_current_locus_id	M744_RS04265	2.15385967631443	4.47362568882807e-15	0.654982977996288	0.0261809391213169	0.595482861062354	0.0872397431432175	280	293	238	399	208	226	500	157
aTSS+829022	CP006471	aTSS	+	829022	M744_RS04265	415	mapped	exact_current_locus_id	M744_RS04265	0.83089553827954	0.0173200676639033	-1.2115892168314	0.00127247626941945	0.386942631209838	0.40811528526879	195	224	67	120	43	44	311	102
aTSS+826997	CP006471	aTSS	+	826997	M744_RS04265	2440	mapped	exact_current_locus_id	M744_RS04265	-3.29714112575295	1.042073335368e-12	-0.664855738926015	0.0600049459823683	-0.699339011506965	0.0910730574976821	393	369	9	10	89	147	210	116
aTSS+1881035	CP006471	aTSS	+	1881035	M744_RS09380	239	mapped	exact_current_locus_id	M744_RS09380	4.24387757827257	2.07797708223278e-71	-2.66584054527312	9.72373237537014e-25	1.3866603676688	2.39006985606188e-07	1878	1391	6529	8569	113	136	4865	1606
iTSS-1881022	CP006471	iTSS	-	1881022	M744_RS09380	252	mapped	exact_current_locus_id	M744_RS09380	1.39961971982269	4.62479332271457e-06	0.436172221300098	0.186993483781944	0.562330719827783	0.145229372190247	189	196	111	136	114	138	306	114
aTSS-1280518	CP006471	aTSS	-	1280518	M744_RS06615	545	mapped	exact_current_locus_id	M744_RS06615	3.55561775748301	4.94926995124602e-58	0.670799694616836	0.00557698136121532	0.0914489004988262	0.811370535923848	335	314	733	1164	211	292	359	145
aTSS-1704790	CP006471	aTSS	-	1704790	M744_RS08605	125	mapped	exact_current_locus_id	M744_RS08605	2.51765363912191	1.27804464357296e-15	-3.13764504637691	8.60810773935284e-12	1.37046351383541	0.000155039000753971	207	159	183	346	11	9	547	172
aTSS-1705264	CP006471	aTSS	-	1705264	M744_RS08605	599	mapped	exact_current_locus_id	M744_RS08605	1.43259016032693	2.23257942218048e-06	-0.775342743605086	0.0191637755938105	0.288629855710736	0.505835524933306	312	281	176	212	89	76	393	144
iTSS+91830	CP006471	iTSS	+	91830	M744_RS00490	536	mapped	exact_current_locus_id	M744_RS00490	-0.279956201840845	0.371000055456282	-1.65253420880465	7.94833971024754e-08	-1.02083461754178	0.00318489865139419	647	1055	127	225	110	154	418	186
aTSS-1223391	CP006471	aTSS	-	1223391	M744_RS06295	1142	mapped	exact_current_locus_id	M744_RS06295	2.30411869364847	1.03805813316386e-20	-2.74221910509795	1.27263572881874e-19	0.660320898437607	0.0303555734522722	550	464	482	762	36	37	881	314
aTSS-1223070	CP006471	aTSS	-	1223070	M744_RS06295	821	mapped	exact_current_locus_id	M744_RS06295	-1.64530764484501	3.88090278526956e-07	-1.80401170410082	8.44657969797516e-09	0.501373947239071	0.180579255530529	682	494	30	65	78	84	770	397
aTSS-1223445	CP006471	aTSS	-	1223445	M744_RS06295	9	mapped	exact_current_locus_id	M744_RS06295	-2.46316979863806	3.03034627626701e-10	-0.0483782703572482	0.901259343783711	-0.456689288599482	0.284966413512795	388	479	20	18	199	203	267	164
