locus_tag	protein_id	go_id	qualifier	aspect	evidence_code	reference	with_from	assigned_by	annotation_date	source_taxon	mapping_ambiguity	mapping_method
M744_RS00005	WP_049749324.1	GO:0016787	enables	F	IEA	PMID:33270901	HMM:NF012376.7	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00015	WP_011243251.1	GO:0004751	enables	F	IEA	PMID:33270901	HMM:NF001924.0	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00015	WP_011243251.1	GO:0009052	involved_in	P	IEA	PMID:33270901	HMM:NF001924.0	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00020	WP_011243252.1	GO:0005524	enables	F	IEA	PMID:33270901	HMM:TIGR02030.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00020	WP_011243252.1	GO:0010007	located_in	C	IEA	PMID:33270901	HMM:TIGR02030.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00020	WP_011243252.1	GO:0015995	involved_in	P	IEA	PMID:33270901	HMM:TIGR02030.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00020	WP_011243252.1	GO:0016851	enables	F	IEA	PMID:33270901	HMM:TIGR02030.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00020	WP_011243252.1	GO:0016887	enables	F	IEA	PMID:33270901	HMM:TIGR02030.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00025	WP_011243253.1	GO:0008126	enables	F	IEA	PMID:33270901	ArchId:10785476	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00035	WP_011377631.1	GO:0003824	enables	F	IEA	PMID:33270901	HMM:TIGR03423.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00035	WP_011377631.1	GO:0008658	enables	F	IEA	PMID:33270901	HMM:TIGR03423.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00035	WP_011377631.1	GO:0009252	involved_in	P	IEA	PMID:33270901	HMM:TIGR03423.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00035	WP_011377631.1	GO:0016020	located_in	C	IEA	PMID:33270901	HMM:TIGR03423.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00040	WP_011243256.1	GO:0016757	enables	F	IEA	PMID:33270901	HMM:NF012744.7	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00045	WP_011243257.1	GO:0003824	enables	F	IEA	PMID:33270901	HMM:NF013530.7	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00050	WP_039755858.1	GO:1990107	enables	F	IEA	PMID:33270901	cluster:4999928	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00075	WP_011377628.1	GO:0003824	enables	F	IEA	PMID:33270901	ArchId:10001243	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00075	WP_011377628.1	GO:0046872	enables	F	IEA	PMID:33270901	ArchId:10001243	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00080	WP_011243263.1	GO:0008643	involved_in	P	IEA	PMID:33270901	ArchId:11454559	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00080	WP_011243263.1	GO:0015293	enables	F	IEA	PMID:33270901	ArchId:11454559	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00080	WP_011243263.1	GO:0016020	located_in	C	IEA	PMID:33270901	ArchId:11454559	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00080	WP_011243263.1	GO:0055085	involved_in	P	IEA	PMID:33270901	ArchId:11454559	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00095	WP_011377627.1	GO:0016810	enables	F	IEA	PMID:33270901	HMM:NF005759.0	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00100	WP_011377626.1	GO:0016491	enables	F	IEA	PMID:33270901	ArchId:11416043	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00100	WP_011377626.1	GO:0071949	enables	F	IEA	PMID:33270901	ArchId:11416043	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00105	WP_011243268.1	GO:0016787	enables	F	IEA	PMID:33270901	ArchId:11426169	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00110	WP_011243269.1	GO:0005515	enables	F	IEA	PMID:33270901	HMM:NF012708.7	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00120	WP_011243271.1	GO:0003677	enables	F	IEA	PMID:33270901	HMM:NF003673.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00120	WP_011243271.1	GO:0005515	enables	F	IEA	PMID:33270901	HMM:NF003673.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
