locus_tag	gene_symbol	product	deterministic_selected	choice	semantic_inclusion	choice_probability	top_probability	confidence	probabilities
M744_RS00920	prfB	peptide chain release factor 2	False	translation_termination_factor	True	1.0	1.0	1.0	"{""atp_synthase_subunit"": 0.0, ""chaperonin"": 0.0, ""dna_directed_rna_polymerase_subunit"": 0.0, ""insufficient_evidence"": 0.0, ""no_match"": 0.0, ""ribosomal_structural_protein"": 0.0, ""translation_elongation_factor"": 0.0, ""translation_initiation_factor"": 0.0, ""translation_termination_factor"": 1.0}"
M744_RS01275	atpH	ATP synthase F1 subunit delta	False	atp_synthase_subunit	True	1.0	1.0	1.0	"{""atp_synthase_subunit"": 1.0, ""chaperonin"": 0.0, ""dna_directed_rna_polymerase_subunit"": 0.0, ""insufficient_evidence"": 0.0, ""no_match"": 0.0, ""ribosomal_structural_protein"": 0.0, ""translation_elongation_factor"": 0.0, ""translation_initiation_factor"": 0.0, ""translation_termination_factor"": 0.0}"
M744_RS01290	atpE	ATP synthase F0 subunit C	False	atp_synthase_subunit	True	1.0	1.0	1.0	"{""atp_synthase_subunit"": 1.0, ""chaperonin"": 0.0, ""dna_directed_rna_polymerase_subunit"": 0.0, ""insufficient_evidence"": 0.0, ""no_match"": 0.0, ""ribosomal_structural_protein"": 0.0, ""translation_elongation_factor"": 0.0, ""translation_initiation_factor"": 0.0, ""translation_termination_factor"": 0.0}"
M744_RS03255	efp	elongation factor P	False	translation_elongation_factor	True	1.0	1.0	1.0	"{""atp_synthase_subunit"": 0.0, ""chaperonin"": 0.0, ""dna_directed_rna_polymerase_subunit"": 0.0, ""insufficient_evidence"": 0.0, ""no_match"": 0.0, ""ribosomal_structural_protein"": 0.0, ""translation_elongation_factor"": 1.0, ""translation_initiation_factor"": 0.0, ""translation_termination_factor"": 0.0}"
M744_RS04290	prfC	peptide chain release factor 3	False	translation_termination_factor	True	1.0	1.0	1.0	"{""atp_synthase_subunit"": 0.0, ""chaperonin"": 0.0, ""dna_directed_rna_polymerase_subunit"": 0.0, ""insufficient_evidence"": 0.0, ""no_match"": 0.0, ""ribosomal_structural_protein"": 0.0, ""translation_elongation_factor"": 0.0, ""translation_initiation_factor"": 0.0, ""translation_termination_factor"": 1.0}"
M744_RS04390		30S ribosomal protein PSRP-3	True	no_match	False	0.51	0.51	0.44	"{""atp_synthase_subunit"": 0.0, ""chaperonin"": 0.0, ""dna_directed_rna_polymerase_subunit"": 0.0, ""insufficient_evidence"": 0.0, ""no_match"": 0.51, ""ribosomal_structural_protein"": 0.49, ""translation_elongation_factor"": 0.0, ""translation_initiation_factor"": 0.0, ""translation_termination_factor"": 0.0}"
M744_RS04530	atpC	ATP synthase F1 subunit epsilon	False	atp_synthase_subunit	True	1.0	1.0	1.0	"{""atp_synthase_subunit"": 1.0, ""chaperonin"": 0.0, ""dna_directed_rna_polymerase_subunit"": 0.0, ""insufficient_evidence"": 0.0, ""no_match"": 0.0, ""ribosomal_structural_protein"": 0.0, ""translation_elongation_factor"": 0.0, ""translation_initiation_factor"": 0.0, ""translation_termination_factor"": 0.0}"
M744_RS05110	prfA	peptide chain release factor 1	False	translation_termination_factor	True	1.0	1.0	1.0	"{""atp_synthase_subunit"": 0.0, ""chaperonin"": 0.0, ""dna_directed_rna_polymerase_subunit"": 0.0, ""insufficient_evidence"": 0.0, ""no_match"": 0.0, ""ribosomal_structural_protein"": 0.0, ""translation_elongation_factor"": 0.0, ""translation_initiation_factor"": 0.0, ""translation_termination_factor"": 1.0}"
M744_RS05740		elongation factor G	False	translation_elongation_factor	True	1.0	1.0	0.99	"{""atp_synthase_subunit"": 0.0, ""chaperonin"": 0.0, ""dna_directed_rna_polymerase_subunit"": 0.0, ""insufficient_evidence"": 0.0, ""no_match"": 0.0, ""ribosomal_structural_protein"": 0.0, ""translation_elongation_factor"": 1.0, ""translation_initiation_factor"": 0.0, ""translation_termination_factor"": 0.0}"
M744_RS11730	fusA	elongation factor G	False	translation_elongation_factor	True	1.0	1.0	1.0	"{""atp_synthase_subunit"": 0.0, ""chaperonin"": 0.0, ""dna_directed_rna_polymerase_subunit"": 0.0, ""insufficient_evidence"": 0.0, ""no_match"": 0.0, ""ribosomal_structural_protein"": 0.0, ""translation_elongation_factor"": 1.0, ""translation_initiation_factor"": 0.0, ""translation_termination_factor"": 0.0}"
M744_RS11735	tuf	elongation factor Tu	False	translation_elongation_factor	True	1.0	1.0	1.0	"{""atp_synthase_subunit"": 0.0, ""chaperonin"": 0.0, ""dna_directed_rna_polymerase_subunit"": 0.0, ""insufficient_evidence"": 0.0, ""no_match"": 0.0, ""ribosomal_structural_protein"": 0.0, ""translation_elongation_factor"": 1.0, ""translation_initiation_factor"": 0.0, ""translation_termination_factor"": 0.0}"
