subject_locus_tag	relationship	object_namespace	object_id	seqid	start	end	strand	mapping_ambiguity	source	evidence	mapping_method
M744_RS00005	cds_segment	RefSeq_location	NZ_CP006471.1:32-799:+	NZ_CP006471.1	32	799	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS00005	current_locus_tag	RefSeq_locus_tag	M744_RS00005	NZ_CP006471.1	32	799	+		UTEX RefSeq GFF3		direct annotation
M744_RS00005	genomic_location	RefSeq_location	NZ_CP006471.1:32-799:+	NZ_CP006471.1	32	799	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS00005	old_locus_tag	legacy_locus_tag	M744_00005	NZ_CP006471.1	32	799	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS00005	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_0586	NZ_CP006471.1	32	799	+		PCC 7942 and UTEX RefSeq GFF3	WP_049749324.1	exact shared RefSeq protein_id
M744_RS00005	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS02980	NZ_CP006471.1	32	799	+		PCC 7942 and UTEX RefSeq GFF3	WP_049749324.1	exact shared RefSeq protein_id
M744_RS00005	protein_id	RefSeq_protein	WP_049749324.1	NZ_CP006471.1	32	799	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS00005	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	32	799	+		UTEX RefSeq GFF3		direct seqid
M744_RS00010	cds_segment	RefSeq_location	NZ_CP006471.1:950-2170:+	NZ_CP006471.1	950	2170	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS00010	current_locus_tag	RefSeq_locus_tag	M744_RS00010	NZ_CP006471.1	950	2170	+		UTEX RefSeq GFF3		direct annotation
M744_RS00010	genomic_location	RefSeq_location	NZ_CP006471.1:950-2170:+	NZ_CP006471.1	950	2170	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS00010	old_locus_tag	legacy_locus_tag	M744_00010	NZ_CP006471.1	950	2170	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS00010	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_0585	NZ_CP006471.1	950	2170	+		PCC 7942 and UTEX RefSeq GFF3	WP_011377632.1	exact shared RefSeq protein_id
M744_RS00010	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS02975	NZ_CP006471.1	950	2170	+		PCC 7942 and UTEX RefSeq GFF3	WP_011377632.1	exact shared RefSeq protein_id
M744_RS00010	protein_id	RefSeq_protein	WP_011377632.1	NZ_CP006471.1	950	2170	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS00010	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	950	2170	+		UTEX RefSeq GFF3		direct seqid
M744_RS00015	cds_segment	RefSeq_location	NZ_CP006471.1:2259-2984:+	NZ_CP006471.1	2259	2984	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS00015	current_locus_tag	RefSeq_locus_tag	M744_RS00015	NZ_CP006471.1	2259	2984	+		UTEX RefSeq GFF3		direct annotation
M744_RS00015	gene_symbol	gene_symbol	rpiA	NZ_CP006471.1	2259	2984	+		UTEX RefSeq GFF3		direct gene qualifier
M744_RS00015	genomic_location	RefSeq_location	NZ_CP006471.1:2259-2984:+	NZ_CP006471.1	2259	2984	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS00015	old_locus_tag	legacy_locus_tag	M744_00015	NZ_CP006471.1	2259	2984	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS00015	protein_id	RefSeq_protein	WP_011243251.1	NZ_CP006471.1	2259	2984	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS00015	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	2259	2984	+		UTEX RefSeq GFF3		direct seqid
M744_RS00020	cds_segment	RefSeq_location	NZ_CP006471.1:3121-4215:-	NZ_CP006471.1	3121	4215	-		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS00020	current_locus_tag	RefSeq_locus_tag	M744_RS00020	NZ_CP006471.1	3121	4215	-		UTEX RefSeq GFF3		direct annotation
M744_RS00020	gene_symbol	gene_symbol	bchI	NZ_CP006471.1	3121	4215	-		UTEX RefSeq GFF3		direct gene qualifier
M744_RS00020	genomic_location	RefSeq_location	NZ_CP006471.1:3121-4215:-	NZ_CP006471.1	3121	4215	-		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS00020	old_locus_tag	legacy_locus_tag	M744_00020	NZ_CP006471.1	3121	4215	-		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS00020	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_0583	NZ_CP006471.1	3121	4215	-		PCC 7942 and UTEX RefSeq GFF3	WP_011243252.1	exact shared RefSeq protein_id
M744_RS00020	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS02965	NZ_CP006471.1	3121	4215	-		PCC 7942 and UTEX RefSeq GFF3	WP_011243252.1	exact shared RefSeq protein_id
M744_RS00020	protein_id	RefSeq_protein	WP_011243252.1	NZ_CP006471.1	3121	4215	-		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS00020	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	3121	4215	-		UTEX RefSeq GFF3		direct seqid
